國道別,方向,編號,收費區設定里程,小車牌價,起點交流道,迄點交流道,北緯,東經
國3,S,03F-015.8S,1.2,1.4,南港(連接環東大道),南港系統(連接國五),25.036533,121.621386
國3,S,03F-020.1S,4.7,5.6,南港系統(連接國五),木柵(連接國3甲),25.007436,121.595981
國3,S,03F-021.7S,6.3,7.5,木柵(連接國3甲),新店(中興路),24.993567,121.592933
國3,S,03F-030.1S,4.1,4.9,新店(中興路),安坑(中央、安康路),24.96255,121.530572
國3,S,03F-033.7S,4.8,5.7,安坑(中央、安康路),中和(連接台64),24.978881,121.502381
國3,S,03F-039.4S,6.7,8,中和(連接台64),土城(連接台65),24.975247,121.454925
國3,S,03F-044.7S,4.9,5.8,土城(連接台65),樹林,24.950503,121.412681
國3,S,03F-049.8S,3.3,3.9,樹林,三鶯,24.943825,121.365275
國3,S,03F-052.5S,3.7,4.4,三鶯,鶯歌系統(連接國2),24.936025,121.3419
國3,S,03F-055.9S,8.4,10,鶯歌系統(連接國2),大溪(連接台66),24.930225,121.312458
國3,S,03F-064.8S,5.5,6.6,大溪(連接台66),龍潭,24.878792,121.250839
國3,S,03F-069.8S,7.9,9.4,龍潭,關西服務區,24.856558,121.208581
國3,S,03F-078.3S,3,3.6,關西服務區,關西,24.797339,121.179128
國3,S,03F-084.6S,11.1,13.3,關西,竹林,24.791439,121.125997
國3,S,03F-096.1S,8.5,10.2,竹林,寶山,24.758442,121.030425
國3,S,03F-099.6S,1.9,2.2,寶山,新竹系統(連接國1),24.755811,120.997269
國3,S,03F-102.2S,3.2,3.8,新竹系統(連接國1),茄苳,24.757914,120.972267
國3,S,03F-105.1S,5.3,6.3,茄苳,香山,24.753094,120.945675
國3,S,03F-112.8S,5.6,6.7,香山,西濱(連接台61),24.711383,120.889639
國3,S,03F-116.1S,3.7,4.4,西濱(連接台61),竹南,24.698006,120.860086
國3,S,03F-121.5S,5.4,6.4,竹南,大山,24.655964,120.838242
國3,S,03F-125.7S,5.7,6.8,大山,後龍,24.627161,120.814006
國3,S,03F-133.2S,4.7,5.6,後龍,西湖服務區,24.579642,120.764417
國3,S,03F-139.5S,9.4,11.2,西湖服務區,通霄,24.531125,120.733253
國3,S,03F-148.5S,12.5,15,通霄,苑裡,24.467308,120.681217
國3,S,03F-163.3S,7.5,9,苑裡,大甲,24.341119,120.651567
國3,S,03F-165.1S,4.7,5.6,大甲,中港系統(連接國4),24.334719,120.635578
國3,S,03F-171.0S,3.5,4.2,中港系統(連接國4),清水服務區,24.292881,120.601964
國3,S,03F-173.9S,3.7,4.4,清水服務區,沙鹿,24.269464,120.590806
國3,S,03F-177.9S,6.7,8,沙鹿,龍井,24.234647,120.593306
國3,S,03F-186.0S,8.8,10.5,龍井,和美,24.177831,120.548244
國3,S,03F-194.4S,5.1,6.1,和美,彰化系統(連接國1),24.119011,120.536692
國3,S,03F-199.1S,5.4,6.4,彰化系統(連接國1),快官(連接台74),24.102808,120.577661
國3,S,03F-206.6S,5.2,6.2,快官(連接台74),烏日,24.070333,120.639711
國3,S,03F-207.9S,1.8,2.1,烏日,中投(連接台63),24.067778,120.652361
國3,S,03F-210.0S,2.3,2.7,中投(連接台63),霧峰(台3線、太平-台74),24.060653,120.670964
國3,S,03F-212.9S,2.9,3.4,霧峰(台3線、太平-台74),霧峰系統(連接國6),24.037392,120.675775
國3,S,03F-215.2S,3,3.6,霧峰系統(連接國6),草屯,24.019992,120.663222
國3,S,03F-219.4S,5.6,6.7,草屯,中興系統(台76-八卦山隧道),23.985844,120.652714
國3,S,03F-223.5S,1.8,2.1,中興系統(台76-八卦山隧道),中興,23.955503,120.661267
國3,S,03F-226.1S,3.8,4.5,中興,南投,23.9376,120.677039
國3,S,03F-230.6S,3,3.6,南投,南投服務區,23.906781,120.702828
國3,S,03F-233.6S,5.6,6.7,南投服務區,名間,23.882031,120.709186
國3,S,03F-241.5S,6.7,8,名間,竹山,23.814836,120.700003
國3,S,03F-244.7S,6.3,7.5,竹山,南雲,23.787486,120.704519
國3,S,03F-253.5S,10.2,12.2,南雲,斗六,23.775581,120.6259
國3,S,03F-261.4S,8.1,9.7,斗六,古坑(文化路)&古坑系統(連接台78),23.724425,120.601786
國3,S,03F-270.9S,2.1,2.5,古坑(文化路)&古坑系統(連接台78),古坑(朝陽路),23.649142,120.57295
國3,S,03F-274.7S,5.7,6.8,古坑(朝陽路),古坑服務區,23.618203,120.558567
國3,S,03F-277.7S,2.5,3,古坑服務區,梅山,23.606792,120.532511
國3,S,03F-284.0S,9.6,11.5,梅山,竹崎(竹崎連絡道),23.558125,120.505061
國3,S,03F-289.9S,2,2.4,竹崎(竹崎連絡道),竹崎(159縣道),23.511683,120.486328
國3,S,03F-292.3S,6.5,7.8,竹崎(159縣道),中埔,23.492078,120.494586
國3,S,03F-298.5S,2.9,3.4,中埔,水上系統(連接台82),23.442486,120.4812
國3,S,03F-310.1S,11.3,13.5,水上系統(連接台82),白河,23.361253,120.436356
國3,S,03F-318.7S,8.1,9.7,白河,東山服務區,23.296692,120.404164
國3,S,03F-321.1S,2.8,3.3,東山服務區,柳營,23.279281,120.390253
國3,S,03F-325.9S,7.1,8.5,柳營,烏山頭,23.244994,120.367378
國3,S,03F-330.7S,5.1,6.1,烏山頭,官田系統(連接台84),23.203275,120.355461
國3,S,03F-339.2S,5.3,6.3,官田系統(連接台84),善化,23.132064,120.333711
國3,S,03F-344.5S,6.7,8,善化,新化系統(連接國8),23.085272,120.329033
國3,S,03F-349.6S,10.1,12.1,新化系統(連接國8),關廟(連接台86),23.040203,120.325172
國3,S,03F-358.8S,6.8,8.1,關廟(連接台86),關廟服務區,22.969758,120.340164
國3,S,03F-367.0S,5.7,6.8,關廟服務區,田寮,22.901969,120.354767
國3,S,03F-374.3S,13.5,16.2,田寮,燕巢系統(連接國10),22.845122,120.385428
國3,S,03F-385.4S,7.9,9.4,燕巢系統(連接國10),九如,22.769197,120.441839
國3,S,03F-391.6S,9.2,11,九如,長治,22.749792,120.496839
國3,S,03F-401.8S,6.7,8,長治,麟洛,22.682775,120.563086
國3,S,03F-414.2S,7.3,8.7,麟洛,竹田系統(連接台88),22.579586,120.526161
國3,S,03F-416.8S,6.7,8,竹田系統(連接台88),崁頂,22.557186,120.524558
國3,S,03F-423.2S,2.4,2.8,崁頂,南州,22.501367,120.525775
國3,S,03F-426.3S,5.9,7,南州,林邊(大鵬灣端),22.474661,120.530844
國3,N,03F-002.1N,2.3,2.7,瑪東系統(連接台62),基金,25.129514,121.698631
國3,N,03F-005.4N,8.4,10,汐止系統(連接國1),瑪東系統(連接台62),25.103747,121.681789
國3,N,03F-011.6N,2.1,2.5,新台五路,汐止系統(連接國1),25.065611,121.643467
國3,N,03F-014.0N,1.7,2,南港(連接環東大道),新台五路,25.050319,121.628156
國3,N,03F-015.0N,1.2,1.4,南港系統(連接國五)&南深路出口匝道,南港(連接環東大道),25.042389,121.624789
國3,N,03F-020.1N,4.4,5.2,木柵(連接國3甲),南港系統(連接國五)&南深路出口匝道,25.007375,121.596381
國3,N,03F-021.7N,6.3,7.5,新店(中興路),木柵(連接國3甲),24.993744,121.593367
國3,N,03F-030.1N,4.1,4.9,安坑(中央、安康路),新店(中興路),24.96255,121.530572
國3,N,03F-033.8N,4.8,5.7,中和(連接台64),安坑(中央、安康路),24.978586,121.501744
國3,N,03F-039.4N,6.7,8,土城(連接台65),中和(連接台64),24.975247,121.454925
國3,N,03F-044.7N,4.9,5.8,樹林,土城(連接台65),24.950503,121.412681
國3,N,03F-049.8N,3.3,3.9,三鶯,樹林,24.943825,121.365275
國3,N,03F-052.5N,3.7,4.4,鶯歌系統(連接國2),三鶯,24.936025,121.3419
國3,N,03F-055.9N,8.4,10,大溪(連接台66),鶯歌系統(連接國2),24.930225,121.312458
國3,N,03F-064.8N,5.5,6.6,龍潭,大溪(連接台66),24.878792,121.250839
國3,N,03F-069.8N,7.9,9.4,關西服務區,龍潭,24.856558,121.208581
國3,N,03F-078.3N,3,3.6,關西,關西服務區,24.797339,121.179128
國3,N,03F-084.6N,11.1,13.3,竹林,關西,24.791439,121.125997
國3,N,03F-096.1N,8.5,10.2,寶山,竹林,24.758442,121.030425
國3,N,03F-099.6N,1.9,2.2,新竹系統(連接國1),寶山,24.755811,120.997269
國3,N,03F-102.2N,3.2,3.8,茄苳,新竹系統(連接國1),24.757914,120.972267
國3,N,03F-105.1N,5.3,6.3,香山,茄苳,24.753094,120.945675
國3,N,03F-112.8N,5.6,6.7,西濱(連接台61),香山,24.711383,120.889639
國3,N,03F-116.1N,3.7,4.4,竹南,西濱(連接台61),24.698006,120.860086
國3,N,03F-121.5N,5.4,6.4,大山,竹南,24.655964,120.838242
國3,N,03F-125.7N,5.7,6.8,後龍,大山,24.627161,120.814006
國3,N,03F-133.2N,4.7,5.6,西湖服務區,後龍,24.579642,120.764417
國3,N,03F-139.5N,9.4,11.2,通霄,西湖服務區,24.531125,120.733253
國3,N,03F-148.5N,12.5,15,苑裡,通霄,24.467308,120.681217
國3,N,03F-163.3N,7.5,9,大甲,苑裡,24.341119,120.651567
國3,N,03F-165.1N,4.7,5.6,中港系統(連接國4),大甲,24.334719,120.635578
國3,N,03F-171.0N,3.5,4.2,清水服務區,中港系統(連接國4),24.292881,120.601964
國3,N,03F-173.9N,3.7,4.4,沙鹿,清水服務區,24.269464,120.590806
國3,N,03F-177.9N,6.7,8,龍井,沙鹿,24.234647,120.593306
國3,N,03F-186.0N,8.8,10.5,和美,龍井,24.177831,120.548244
國3,N,03F-194.1N,5.1,6.1,彰化系統(連接國1),和美,24.120947,120.534547
國3,N,03F-199.2N,5.4,6.4,快官(連接台74),彰化系統(連接國1),24.102525,120.578747
國3,N,03F-206.6N,5.2,6.2,烏日,快官(連接台74),24.070333,120.639711
國3,N,03F-207.8N,1.8,2.1,中投(連接台63),烏日,24.067958,120.651433
國3,N,03F-210.0N,2.3,2.7,霧峰(台3線、太平-台74),中投(連接台63),24.060428,120.671533
國3,N,03F-212.5N,2.9,3.4,霧峰系統(連接國6),霧峰(台3線、太平-台74),24.040994,120.677853
國3,N,03F-215.3N,3,3.6,草屯,霧峰系統(連接國6),24.0189444,120.6631611
國3,N,03F-219.4N,5.6,6.7,中興系統(台76-八卦山隧道),草屯,23.985844,120.652714
國3,N,03F-223.1N,1.8,2.1,中興,中興系統(台76-八卦山隧道),23.957103,120.657614
國3,N,03F-226.0N,3.8,4.5,南投,中興,23.937928,120.676853
國3,N,03F-230.6N,3,3.6,南投服務區,南投,23.906781,120.702828
國3,N,03F-233.6N,5.6,6.7,名間,南投服務區,23.882031,120.709186
國3,N,03F-241.5N,6.7,8,竹山,名間,23.814836,120.700003
國3,N,03F-244.7N,6.3,7.5,南雲,竹山,23.787486,120.704519
國3,N,03F-253.5N,10.2,12.2,斗六,南雲,23.775581,120.6259
國3,N,03F-261.4N,8.1,9.7,古坑(文化路)&古坑系統(連接台78),斗六,23.724425,120.601786
國3,N,03F-270.9N,2.1,2.5,古坑(朝陽路),古坑(文化路)&古坑系統(連接台78),23.6492778,120.5729111
國3,N,03F-274.7N,5.7,6.8,古坑服務區,古坑(朝陽路),23.618203,120.558567
國3,N,03F-277.7N,2.5,3,梅山,古坑服務區,23.606792,120.532511
國3,N,03F-284.0N,9.6,11.5,竹崎(竹崎連絡道),梅山,23.558125,120.505061
國3,N,03F-289.9N,2,2.4,竹崎(159縣道),竹崎(竹崎連絡道),23.511683,120.486328
國3,N,03F-292.3N,6.5,7.8,中埔,竹崎(159縣道),23.492078,120.494586
國3,N,03F-298.5N,2.9,3.4,水上系統(連接台82),中埔,23.442486,120.4812
國3,N,03F-310.1N,11.3,13.5,白河,水上系統(連接台82),23.361253,120.436356
國3,N,03F-318.7N,8.1,9.7,東山服務區,白河,23.296692,120.404164
國3,N,03F-321.1N,2.8,3.3,柳營,東山服務區,23.279281,120.390253
國3,N,03F-325.9N,7.1,8.5,烏山頭,柳營,23.244994,120.367378
國3,N,03F-330.7N,5.1,6.1,官田系統(連接台84),烏山頭,23.203275,120.355461
國3,N,03F-339.2N,5.3,6.3,善化,官田系統(連接台84),23.132064,120.333711
國3,N,03F-344.5N,6.7,8,新化系統(連接國8),善化,23.085272,120.329033
國3,N,03F-349.6N,10.1,12.1,關廟(連接台86),新化系統(連接國8),23.040203,120.325172
國3,N,03F-358.8N,6.8,8.1,關廟服務區,關廟(連接台86),22.969758,120.340164
國3,N,03F-367.0N,5.7,6.8,田寮,關廟服務區,22.901969,120.354767
國3,N,03F-374.3N,13.5,16.2,燕巢系統(連接國10),田寮,22.845122,120.385428
國3,N,03F-385.4N,7.9,9.4,九如,燕巢系統(連接國10),22.769197,120.441839
國3,N,03F-391.6N,9.2,11,長治,九如,22.749792,120.496839
國3,N,03F-402.1N,6.7,8,麟洛,長治,22.680347,120.563311
國3,N,03F-414.2N,7.3,8.7,竹田系統(連接台88),麟洛,22.579586,120.526161
國3,N,03F-416.8N,6.7,8,崁頂,竹田系統(連接台88),22.557408,120.524761
國3,N,03F-423.2N,2.4,2.8,南州,崁頂,22.501367,120.525775
國3,N,03F-425.9N,5.9,7,林邊(大鵬灣端),南州,22.477464,120.531386
國3甲,S,03A-001.5S,3.6,4.3,台北端,萬芳(動物園、信義快),25.012144,121.562128
國3甲,S,03A-004.1S,1.5,1.8,萬芳(動物園、信義快),木柵(連接國3),25.003864,121.586039
國3甲,N,03A-001.5N,3.6,4.3,萬芳(動物園、信義快),台北端,25.012144,121.562128
國3甲,N,03A-004.1N,1.5,1.8,木柵(連接國3),萬芳(動物園、信義快),25.003864,121.586039
國5,S,05F-000.0S,4.1,4.9,南港系統(連接國3),石碇,25.0350889,121.6229306
國5,S,05F-005.5S,10.5,12.6,石碇,坪林行控專用道,24.9964667,121.6520583
國5,S,05F-028.7S,15.7,18.8,坪林行控專用道,頭城,24.8425694,121.7889667
國5,S,05F-030.9S,6.5,7.8,頭城,宜蘭(四城、大福),24.8237056,121.7862139
國5,S,05F-R11.3S,3.9,4.6,宜蘭(四城、大福),宜蘭(壯圍),24.7339444,121.7819889
國5,S,05F-043.9S,5.7,6.9,宜蘭(壯圍),羅東,24.7110278,121.7894778
國5,S,05F-049.4S,6.9,8.2,羅東,蘇澳,24.6625806,121.79985
國5,N,05F-000.1N,4.1,4.9,石碇,南港系統(連接國3),25.0349722,121.6248611
國5,N,05F-005.5N,10.5,12.6,坪林行控專用道,石碇,24.9961556,121.6520972
國5,N,05F-028.7N,15.7,18.8,頭城,坪林行控專用道,24.8426389,121.7892861
國5,N,05F-030.9N,6.5,7.8,宜蘭(四城、大福),頭城,24.8237056,121.7862139
國5,N,05F-R14.3N,3.9,4.6,宜蘭(壯圍),宜蘭(四城、大福),24.7339167,121.78235
國5,N,05F-043.8N,5.7,6.9,羅東,宜蘭(壯圍),24.7109222,121.7895972
國5,N,05F-052.8N,6.9,8.2,蘇澳,羅東,24.6327167,121.8071667
